Titre,URL,Image,Date,Etat,Prix,Nb_enchere,FDP
POKEMON JAPANESE CARD RARE HOLO CARTE Ampharos Rare Holo 019/054 R 1 ED XY11 NM,https://www.ebay.fr/itm/154805339472?hash=item240b1e0550:g:Y-UAAOSwamxh6sqb,https://i.ebayimg.com/thumbs/images/g/Y-UAAOSwamxh6sqb/s-l225.webp,"Vendu 6 mai 2022
Objet vendu",D'occasion,"6,00 EUR",,Livraison gratuite
Carte Pokémon Mew EX 88/92 Célébrations 25 ans Neuve FR,https://www.ebay.fr/itm/403637919064?hash=item5dfab1dd58:g:wjAAAOSw~ZBicX02,https://i.ebayimg.com/thumbs/images/g/wjAAAOSw~ZBicX02/s-l225.webp,"Vendu 6 mai 2022
Objet vendu",Neuf,"17,50 EUR",10 enchères,"+2,50 EUR (livraison)"
Carte Pokémon Pikachu de (Pikachu Anniversaire) Promo 24 Célébrations 25 ans FR,https://www.ebay.fr/itm/403637916485?hash=item5dfab1d345:g:D9kAAOSw~rxicXxP,https://i.ebayimg.com/thumbs/images/g/D9kAAOSw~rxicXxP/s-l225.webp,"Vendu 6 mai 2022
Objet vendu",Neuf,"8,50 EUR",7 enchères,"+2,50 EUR (livraison)"
 carte pokemon  lithographie d alpha  ,https://www.ebay.fr/itm/125019776211?hash=item1d1bc264d3:g:U7kAAOSwW~Nhn4cw,https://i.ebayimg.com/thumbs/images/g/U7kAAOSwW~Nhn4cw/s-l225.webp,"Vendu 6 mai 2022
Objet vendu",Neuf,"14,50 EUR",,"+1,60 EUR (livraison)"
Minotaupe 246/236 - Soleil et Lune - Éclipse Cosmique - Carte Pokemon,https://www.ebay.fr/itm/403630542361?hash=item5dfa414e19:g:1VgAAOSwBwxiWcDG,https://i.ebayimg.com/thumbs/images/g/1VgAAOSwBwxiWcDG/s-l225.webp,"Vendu 6 mai 2022
Objet vendu",,"5,50 EUR",2 enchères,"+2,00 EUR (livraison)"
Carte Pokémon Roigada de Galar V 099/198 EB6 Règne de Glace FR,https://www.ebay.fr/itm/313982395714?hash=item491acf2542:g:XQ4AAOSwnCRicXuD,https://i.ebayimg.com/thumbs/images/g/XQ4AAOSwnCRicXuD/s-l225.webp,"Vendu 6 mai 2022
Objet vendu",Neuf,"3,50 EUR",1 enchère,"+0,50 EUR (livraison)"
Carte pokemon Vacilys 3/100 Tempête de sable,https://www.ebay.fr/itm/384862716795?hash=item599b9b037b:g:QkkAAOSwppViWcBj,https://i.ebayimg.com/thumbs/images/g/QkkAAOSwppViWcBj/s-l225.webp,"Vendu 6 mai 2022
Objet vendu",D'occasion,"8,00 EUR",5 enchères,"+1,66 EUR (livraison)"
Carte pokemon desseliandre vmax 014/203,https://www.ebay.fr/itm/255454660526?hash=item3b7a48c7ae:g:s4IAAOSw7R5iPfSH,https://i.ebayimg.com/thumbs/images/g/s4IAAOSw7R5iPfSH/s-l225.webp,"Vendu 6 mai 2022
Objet vendu",D'occasion,"12,00 EUR",,Livraison gratuite
Carte Pokémon Sucreine V 021/264 poing de fusion EB08 Neuve Fr,https://www.ebay.fr/itm/313982385262?hash=item491acefc6e:g:9skAAOSw~oticXsg,https://i.ebayimg.com/thumbs/images/g/9skAAOSw~oticXsg/s-l225.webp,"Vendu 6 mai 2022
Objet vendu",Neuf,"4,00 EUR",1 enchère,"+0,50 EUR (livraison)"
Carte Pokémon CARCHACROK C 145/147 EB7.5 : Célébrations 25 ans  Fr,https://www.ebay.fr/itm/403637912537?hash=item5dfab1c3d9:g:gDgAAOSwVOJicXrN,https://i.ebayimg.com/thumbs/images/g/gDgAAOSwVOJicXrN/s-l225.webp,"Vendu 6 mai 2022
Objet vendu",Neuf,"10,50 EUR",9 enchères,"+2,50 EUR (livraison)"
